iter	Passed	Remaining
0	3	3364
1	6	3231
2	9	3004
3	11	2968
4	15	2994
5	18	3033
6	21	3103
7	25	3199
8	28	3178
9	31	3124
10	34	3101
11	37	3102
12	40	3105
13	43	3083
14	47	3112
15	50	3092
16	55	3189
17	57	3153
18	61	3165
19	64	3139
20	67	3131
21	69	3102
22	72	3062
23	74	3047
24	77	3017
25	80	3032
26	84	3041
27	87	3030
28	90	3022
29	93	3034
30	96	3030
31	99	3018
32	102	3004
33	104	2981
34	107	2960
35	109	2943
36	113	2945
37	116	2936
38	118	2927
39	121	2909
40	123	2899
41	126	2885
42	129	2874
43	131	2862
44	134	2849
45	136	2837
46	139	2825
47	142	2819
48	144	2810
49	147	2798
50	149	2786
51	151	2768
52	154	2765
53	157	2756
54	160	2750
55	162	2734
56	164	2723
57	167	2715
58	170	2722
59	172	2710
60	175	2698
61	177	2687
62	180	2679
63	182	2673
64	185	2671
65	188	2670
66	191	2662
67	192	2641
68	195	2636
69	197	2629
70	200	2623
71	203	2622
72	206	2618
73	208	2614
74	211	2605
75	214	2602
76	217	2605
77	220	2604
78	222	2599
79	225	2588
80	228	2587
81	230	2583
82	233	2578
83	235	2572
84	237	2557
85	240	2556
86	242	2540
87	244	2534
88	247	2529
89	249	2526
90	252	2518
91	254	2513
92	257	2507
93	259	2502
94	262	2502
95	265	2497
96	267	2491
97	270	2489
98	272	2484
99	275	2482
100	278	2482
101	280	2468
102	282	2463
103	285	2462
104	288	2456
105	290	2449
106	293	2445
107	296	2448
108	298	2443
109	301	2440
110	303	2432
111	306	2427
112	308	2423
113	311	2418
114	313	2413
115	315	2407
116	319	2408
117	321	2406
118	324	2399
119	327	2398
120	330	2398
121	332	2394
122	334	2381
123	336	2375
124	338	2371
125	341	2366
126	347	2389
127	349	2381
128	352	2379
129	354	2375
130	357	2368
131	359	2364
132	362	2361
133	364	2355
134	367	2352
135	369	2347
136	371	2342
137	374	2337
138	377	2337
139	380	2338
140	383	2335
141	385	2330
142	388	2326
143	390	2322
144	394	2323
145	396	2320
146	399	2317
147	402	2315
148	405	2316
149	408	2314
150	411	2313
151	413	2309
152	416	2306
153	419	2302
154	421	2300
155	424	2295
156	427	2293
157	429	2290
158	432	2286
159	435	2283
160	438	2283
161	440	2281
162	443	2279
163	446	2276
164	449	2275
165	452	2275
166	456	2274
167	459	2273
168	464	2282
169	466	2277
170	469	2276
171	471	2271
172	473	2265
173	475	2258
174	477	2252
175	479	2246
176	482	2241
177	484	2237
178	487	2234
179	489	2229
180	490	2219
181	493	2218
182	496	2215
183	498	2209
184	500	2205
185	503	2205
186	506	2202
187	508	2197
188	510	2191
189	512	2186
190	516	2185
191	518	2183
192	521	2179
193	523	2175
194	526	2172
195	528	2168
196	531	2167
197	534	2165
198	537	2161
199	539	2157
200	541	2152
201	543	2148
202	546	2145
203	548	2141
204	551	2136
205	553	2133
206	555	2129
207	558	2125
208	560	2121
209	562	2117
210	565	2113
211	567	2109
212	569	2103
213	571	2100
214	573	2094
215	575	2089
216	577	2084
217	579	2079
218	582	2076
219	585	2074
220	588	2072
221	590	2068
222	592	2065
223	595	2063
224	598	2060
225	601	2060
226	604	2057
227	606	2054
228	609	2050
229	611	2047
230	613	2043
231	616	2041
232	619	2038
233	622	2036
234	624	2033
235	627	2030
236	629	2026
237	631	2023
238	634	2021
239	637	2018
240	639	2015
241	642	2013
242	645	2010
243	648	2008
244	650	2004
245	653	2002
246	655	1999
247	658	1996
248	662	1996
249	664	1992
250	666	1990
251	669	1986
252	671	1983
253	674	1980
254	677	1978
255	679	1976
256	682	1973
257	685	1971
258	688	1968
259	691	1966
260	693	1964
261	696	1961
262	699	1959
263	701	1956
264	704	1953
265	706	1950
266	709	1947
267	712	1944
268	715	1944
269	718	1942
270	721	1942
271	724	1939
272	727	1936
273	729	1933
274	731	1928
275	733	1924
276	736	1921
277	738	1917
278	740	1914
279	743	1910
280	745	1907
281	747	1903
282	749	1899
283	752	1896
284	753	1891
285	755	1886
286	757	1882
287	759	1878
288	761	1873
289	763	1869
290	765	1865
291	767	1860
292	769	1856
293	771	1853
294	774	1850
295	776	1846
296	778	1841
297	779	1837
298	781	1833
299	783	1828
300	785	1824
301	787	1820
302	789	1816
303	791	1812
304	793	1808
305	796	1806
306	798	1802
307	800	1799
308	803	1796
309	805	1793
310	808	1791
311	811	1788
312	813	1784
313	815	1782
314	818	1780
315	821	1779
316	824	1776
317	827	1773
318	829	1770
319	832	1768
320	834	1765
321	836	1762
322	839	1758
323	841	1755
324	843	1751
325	845	1747
326	847	1743
327	849	1739
328	850	1735
329	852	1731
330	854	1727
331	856	1723
332	858	1719
333	860	1715
334	862	1711
335	864	1707
336	866	1703
337	868	1700
338	869	1696
339	871	1692
340	873	1688
341	875	1684
342	877	1680
343	879	1676
344	880	1672
345	882	1668
346	884	1664
347	886	1660
348	888	1657
349	890	1654
350	892	1650
351	894	1647
352	896	1643
353	898	1639
354	900	1635
355	902	1631
356	903	1627
357	905	1623
358	907	1619
359	908	1615
360	910	1611
361	912	1607
362	914	1604
363	915	1600
364	917	1596
365	919	1592
366	921	1589
367	923	1585
368	925	1581
369	926	1578
370	928	1574
371	930	1570
372	931	1566
373	933	1562
374	935	1558
375	937	1555
376	938	1551
377	940	1547
378	941	1543
379	943	1539
380	945	1536
381	947	1532
382	949	1529
383	950	1525
384	952	1521
385	954	1518
386	956	1514
387	958	1511
388	960	1507
389	961	1504
390	963	1501
391	965	1497
392	967	1494
393	969	1490
394	970	1487
395	972	1483
396	974	1480
397	976	1476
398	978	1473
399	980	1470
400	982	1467
401	984	1464
402	986	1461
403	988	1458
404	990	1454
405	991	1451
406	993	1448
407	996	1445
408	998	1442
409	1001	1440
410	1003	1438
411	1006	1435
412	1008	1432
413	1010	1429
414	1012	1426
415	1013	1423
416	1016	1420
417	1019	1419
418	1021	1416
419	1023	1413
420	1025	1410
421	1027	1407
422	1029	1404
423	1032	1402
424	1033	1398
425	1036	1396
426	1038	1393
427	1041	1391
428	1043	1388
429	1045	1385
430	1047	1383
431	1049	1380
432	1051	1377
433	1054	1374
434	1056	1371
435	1058	1368
436	1059	1365
437	1061	1362
438	1063	1359
439	1065	1356
440	1067	1353
441	1070	1350
442	1072	1348
443	1074	1345
444	1076	1342
445	1078	1339
446	1080	1336
447	1082	1333
448	1084	1330
449	1086	1328
450	1088	1325
451	1091	1322
452	1093	1320
453	1095	1317
454	1098	1315
455	1100	1313
456	1104	1311
457	1107	1310
458	1110	1308
459	1113	1306
460	1115	1304
461	1118	1302
462	1120	1299
463	1123	1298
464	1126	1296
465	1129	1294
466	1132	1292
467	1134	1289
468	1137	1287
469	1140	1285
470	1143	1283
471	1145	1281
472	1148	1279
473	1150	1276
474	1153	1274
475	1155	1271
476	1157	1269
477	1161	1267
478	1164	1266
479	1167	1264
480	1169	1261
481	1171	1259
482	1175	1257
483	1177	1255
484	1180	1253
485	1183	1251
486	1186	1249
487	1188	1247
488	1191	1244
489	1194	1243
490	1196	1240
