iter	Passed	Remaining
0	140	140662
1	141	70639
2	142	47290
3	142	35571
4	143	28545
5	144	23867
6	144	20531
7	145	18058
8	146	16109
9	146	14544
10	147	13263
11	148	12209
12	148	11307
13	149	10532
14	150	9857
15	150	9278
16	151	8771
17	152	8318
18	153	7904
19	153	7531
20	154	7195
21	155	6890
22	155	6614
23	156	6356
24	156	6118
25	157	5899
26	158	5699
27	158	5517
28	159	5351
29	160	5192
30	161	5038
31	161	4895
32	162	4757
33	162	4630
34	163	4509
35	164	4414
36	165	4308
37	166	4211
38	167	4126
39	168	4034
40	168	3946
41	169	3864
42	169	3782
43	170	3706
44	171	3632
45	171	3563
46	172	3496
47	173	3433
48	173	3372
49	174	3314
50	175	3257
51	175	3202
52	176	3150
53	176	3099
54	177	3052
55	178	3007
56	179	2965
57	180	2923
58	180	2881
59	181	2841
60	181	2801
61	182	2761
62	183	2724
63	183	2687
64	184	2651
65	184	2616
66	185	2582
67	186	2549
68	186	2518
69	187	2487
70	187	2457
71	188	2428
72	188	2399
73	189	2371
74	190	2344
75	190	2317
76	191	2291
77	191	2266
78	192	2241
79	192	2217
80	193	2193
81	193	2171
82	194	2146
83	195	2127
84	195	2107
85	196	2087
86	197	2067
87	197	2047
88	198	2028
89	198	2009
90	199	1990
91	199	1972
92	200	1954
93	201	1937
94	201	1920
95	202	1904
96	202	1888
97	203	1872
98	204	1856
99	204	1841
100	205	1826
101	205	1811
102	206	1796
103	206	1782
104	207	1767
105	208	1754
106	208	1741
107	209	1729
108	209	1716
109	210	1703
110	211	1690
111	211	1679
112	212	1666
113	212	1655
114	213	1643
115	214	1632
116	214	1619
117	215	1607
118	215	1596
119	216	1585
120	216	1576
121	217	1565
122	218	1555
123	218	1545
124	219	1535
125	219	1525
126	220	1514
127	221	1505
128	221	1497
129	222	1489
130	223	1479
131	223	1471
132	224	1461
133	224	1453
134	225	1445
135	226	1436
136	226	1428
137	227	1420
138	227	1412
139	228	1403
140	228	1395
141	229	1386
142	230	1378
143	230	1370
144	231	1363
145	231	1356
146	232	1349
147	233	1341
148	233	1334
149	234	1327
150	234	1320
151	235	1313
